Unique ID,User,Tweet,toxic_bert_binary,perspective_binary
1574760833493729280,DeeDay53695896,"@AsianDawn4 Hate Crime
No need to hit Asian guy on head.",1,0
1574714976106864645,PureBlarney,"@MrAndyNgo Another black on Asian hate crime, where is #CNN and #MSNBC - I wonder if they would cover this if the victim was black?",0,1
1574696124182568960,deputy126,@FOX29philly @6abc did I miss your coverage on this horrific crime in dementia joes hometown?👇👇👇👇👇👇black on Asian hate crime????? https://t.co/MObkQJGeCB,0,1
1574658232634613760,GenevieveD_,Expecting a full scale Asian hate crime soon,0,1
1574617729012797441,wlwpoem,this is an asian hate crime https://t.co/OzX4L2WmXf,0,1
1574616562866462721,xShangox,"Whenever there's a ""black and"" the trick bag isn't far behind.
They can do spacific things for everyone except Black. Asian Hate crime bill, DACA, immigrants ect. But nothing specifically for Black.
#NoAntiBlackRacism https://t.co/oXdLsxsI6Y",0,1
1574616491382935552,xShangox,"@KOINNews Whenever there's a ""black and"" the trick bag isn't far behind.
They can do spacific things for everyone except Black. Asian Hate crime bill, DACA, immigrants ect. But nothing specifically for Black.
#NoAntiBlackRacism",0,1
1574580073130139649,yenswagz,@richardasabiaga this is a hate crime against queer asian american women,1,0
1574565764840845312,KeenanPeachy,Another MAGA extremist hate crime. Stop Asian Hate! https://t.co/FJw5ShbA0M,1,0
1574548545738153984,stopyerbitchen,@tom_cho Just curious if they will discuss why 99% of all Asian hate crime is perpetrated by black men and women.,0,1
1574548485097021442,Jake_Ragsdale,@DionLimTV @nydia_han @6abc ANOTHER black on asian hate crime?!,1,0
1574540853648928768,KeepitRealTea,"It would be nice if “ All Black people “ especially “  women “ we find other places to get our  beauty products &amp; hair seriously. This 
( FEAR) of AA  have become ludicrous and this anti-Asian hate crime. If they so scared please leave our black communities #BlackTwitter https://t.co/6PJfMNGmzF",0,1
1574472422492966930,northwest8969,"@HawleyMO You lost that right when you decided to show your racist self and voted against the anti-asian hate crime bill. 94-1. Even your Republican colleagues call you a racist p.o.s. 
https://t.co/Ny4FLlXgTR",0,1
1574165176202694656,LamarRe22071100,"@MsJuicyGenius @TheBlackChannel @TheAfroElite @Marcel4Congress @tariqnasheed @T_A_Activist @wonispotts @GryKngBlakState Asian hate crime bill pass with 96 senators. President numb nuts was trying to give illegals $450,000 per person. Black people it’s time to get rid of our sambo class of Representatives",0,1
1574119560030179332,Freethought221,More Asian hate crime @natashadevon_ https://t.co/kRX2fQQUfn,0,1
1574119166163922944,chillin_chimp,"@miguel_riz159 @MrAndyNgo And it’s not a Asian hate crime if a black person commits it, which are like most of the Asian hate crime happening in America. They actually make rap music instructing how to rob Asians.",0,1
1573950655240491008,Sukhoi85926613,"@Tennessee9311 @B192Q @PrvtTymeNow @DVB2022 If Asian hate crime bill worked, large percentage of black Americans would be in prison.",1,0
1573760566082035712,r_uptown,@fox32news How will FOX 32 and the rest of the MSM protect the thug?  Surely they won’t criticize him.  The thug is black.  The victim is Asian.  Hate crime.  Right?,0,1
1573723478745677824,CulturalTitoist,"@Queen_of_Iceni Between the Russia shit &amp; all the Asian hate crime stuff that happened when COVID hit in the USA, racism is definitely still rife within late millennials and gen z.

I agree there's still a lot to be done to fight prejudice. The past few years have shown how many ppl were hiding",0,1
1573607462225092608,Pulgoso273,@CIX_Official NYC is notorious for unprovoked hate crime toward Asian… stay away,1,0
1573083692410568704,BornAgain914,"@kmrowe1 @realDailyWire It’s only a hate crime if you are Republican or white. He is white, but he killed Republican. That changes the narrative, and excludes the use of a hate crime. Same thing when black men attack Asian people. No hate crime.",0,1
1572766113288658944,Russtophocles1,"@atulane87 @JackPosobiec So you can lunch a white, Latino, Asian etc &amp; it’s just a crime, not a hate crime?

How much black has to be there for it to be a hate crime? Zimmeman
If I’m lunched, I’m changing my name to Rachel X &amp; dolezol-ing that 💩 with my 0.08% blackness talking about hate whitey🤣😂😂",0,1
1572377925974130688,Swooper45Hughes,"@RealDante12 Seen an Asian hate crime on the sound. The metro police got on before anyone one was hurt. Never travel alone, never insight any more hatered bust just to keep your mouth shut and stay to your group. Sad it has to be this way.",1,0
1572337295977549824,ChapsHarrys,@FOX29philly These were Asian girls!!! Why is this not being reported as the hate crime that it clearly is??? @TuckerCarlson,1,0
1572292265246064640,justinemeows,@coneill1965 @future_nba_gm @GovKathyHochul @NYCTSubway Did you thank Zeldin for spreading anti-Asian conspiracy theories regarding COVID that was responsible for so many of the heinous anti-Asian attacks in NYC? Zeldin didn’t even back the House Anti-Asian hate crime bill. So much for his “law and order” stance- what a phony!,1,0
1572076614208598019,HotepX1,"@bimbonimous LOL The people who beat up Asians the most in the West are the white people that you love so much.

The Asian hate crime capital in North America is a city with no Black people in it.

https://t.co/WOFXCpfbjy",0,1
1571669731601530882,TweetyMontgome1,This Clown🤡But Y'all aka (Black Coons) President and Vice President gave this Disrespectful Fish Smelling🐟Cat Ribs🐈 eating Mofos a Asian Anti-Hate Crime Bill‼️Now Make that Make Sense⁉️🤔 https://t.co/aVeAyGUnEA,0,1
1571546512869724161,itstoshiki,"@Nadia09094199 @taeventie Asian hate crime during the start of COVID 19 was insane. People around the world calling Asians dogs, monkeys, roaches everything and guess what Asians are harrased, bullied, and get killed on the streets.",1,0
1571508082483822594,JayLim29,@ArdenDoggie @james_dominador @fugou @05WILDFLOWER09 yes matagal na may asian hate crime sa Canada. May relatives ako in Vancoover and there was this instance some jerk threw a block on the window of a Vietnamese immigrant because they were Asian... sadly Asians have been discriminated for so long but Asians still love the West,0,1
1571482796618846214,newitguy2,@MzYummyDread @BeenWne @MelechThomas I’m saying two simple things - try to find a video with white folk punching Asian woman. You would not. And second - black have 2x higher per capita hate crime rate than white.,1,0
1571293561311608832,EYEWITNESS146,"@WhiteHouse Speaking of hate fueled violence,  why have you ignored the black on Asian hate crime epidemic?",0,1
