Unique ID,User,Tweet,toxic_bert_binary,perspective_binary
1574738803448696833,A_Abby_Abi,"Supporting women who falsely accuse men of rape isn't feminism.

It's criminal.

As a feminist, you want better lives for women &amp; by extension men. Seeing men punished or in pains over crimes they didn't commit shouldn't make you happy. 
If it does, you're a misandrist.",1,0
1573748995335364610,AbuTaymiyyahMJ,"#Feminism - Obeying your boss is being professional but obeying your husband is slavery. 

#feminist #woman",1,0
1574422335209328643,raynefq,"Ritualistically vilifying and shaming public-facing women has become a kind of cultural hobby. I wrote about moral purity, crime and punishment, and a twisted definition of feminism that makes us feel good about throwing women to the wolves 
https://t.co/AiwypBa8ex",0,1
1574235867635499008,stylinarts,i’m so sick of olivia’s fake and performative feminism. it’s about time karma is getting her back https://t.co/tym1r7QDam,0,1
1574100041593106434,emmasincenewyrk,i’m sick of olivia wilde’s fake feminism https://t.co/PXuA5NwS7M,0,1
1574659227867496448,Arshi_E_Sid,"Feminism is a disease. 

Coming to senses is the cure.",0,1
1574807864614555648,mustafamuthafar,This is the results of feminism feminism is a lie too women Feminism encouraged women to be victims of self destruction https://t.co/XiuqzsdWHW,0,1
1573465354361241612,Sandwomannnn,"People in iran are screaming ""woman, life , freedom"" in the streets. this is biggest war for #Feminism that ever happened in Middle East!! People are actually getting murdered in iran for womens right! Be their voice, speak up #MahsaAmini #Mahsa_Amini https://t.co/HmGu8LgPkO",1,0
1574384961414725634,Trickstersworld,If your feminism doesn’t make space for fascism then you’re not a real feminist! https://t.co/9bYqsVtfjx,1,0
1574776096066658305,NyayPrayaas,"#Feminism has been d biggest scam 2 ever hit d society. Wat promised perennial #Equality and #Empowerment to women has turned them into distorted, irresponsible, parasitic &amp; violent monsters. Our daughters must understand that feminism doesn't equate 2 #Feminity. #NyayPrayaas4Men https://t.co/MZ7dqJSqzr",0,1
1574081772492623873,emeriticus,"Feminism in our time should be understood as intrasexual competition, that is, as physically and emotionally ugly women like the one in this video trying to claw down women who are more attractive and pleasant https://t.co/fvhHrE80VG",0,1
1574337614877839362,tzand3,Interesting how all the AH feminists and @Eve_Barlow are completely silent about women being murdered for having a few strands of hair out in Iran. Turns out their feminism only applies to white women who lie. Cool,0,1
1574271935818895360,Abhina_Prakash,Islamism is the rock on which Feminism dies… https://t.co/pT9zU2Ilc5,0,1
1574497883486928911,bunphonic,"""radical feminism"" ""political lesbianism"" who cares. why is it so hard to accept that lesbians cant BE men or LIKE men https://t.co/0eeFVzM17C",0,1
1573351299042742276,BeATopPredator,"Feminism makes women vulnerable.

You independently want to walk outside your home at night without a man by your side, you become 100 times more vulnerable to a sexual assault by thugs.

Common sense.",1,0
1574077045696450560,StreeforSriman,"Stop filling false cases.

Feminism is cancer... https://t.co/F11z3OVMdZ",0,1
1573669472401068034,mjeslfc,"Women blaming other women for a man attending a public event, then demanding we (attendees) explain our beliefs, intentions and values, to ensure we meet their standards, is absolutely disgusting.

Keep your feminism. I dont owe you anything. I dont answer to anyone. Shameful",0,1
1574732661926436864,JbTopGdYe,"Every day on twitter ""Don't pit women against women"", ""Women must be united"", ""God is a woman"" etc &amp; all women do is pit women against each other &amp; that too without hearing all sides of the story &amp; based on assumptions. Modern day feminism is a Cancer to society!! https://t.co/FQ9YR9R75L",0,1
1571627026611687425,ighoyoma_s,"In the history of big brother, no one has more self-control than Bella and sheggz, 8weeks without sex sleeping on the same bed🤣🤣feminism that has no life will still talk rubbish🤣🤣Sheggz and Bella your family did a great job.useless feminist still talking #BBNajia7 #Shella𓃵",0,1
